MM #,Name,Order,Allegiance,Rarity,Power,Def,Base Attack,Moves,Move 1 Name,Move 1 Roll,Move 1 Cooldown,Move 1 Effect,Move 2 Name,Move 2 Roll,Move 2 Cooldown,Move 2 Effect
MM-001,Swift,Order of the Star,Unbound,Wild,52,22,18,Quickstrike: 3+ | CD 1 | This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.; Tailwind Dash: 5+ | CD 2 | All allied Mystics gain +8% ATK for 1 turn; this Mystic recovers 5% of maximum Power Score.,Quickstrike,3+,1,This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.,Tailwind Dash,5+,2,All allied Mystics gain +8% ATK for 1 turn; this Mystic recovers 5% of maximum Power Score.
MM-020,Zephyr,Starwatch,Ascendant,Hunter,68,25,29,Wind Blade: 3+ | CD 1 | This attack gains +10% ATK and mark the target with -10% DEF for your next attack.; Cyclone Rush: 5+ | CD 2 | Gain +15% DEF for 1 turn and reduce one active Special Move recovery by 1 turn.,Wind Blade,3+,1,This attack gains +10% ATK and mark the target with -10% DEF for your next attack.,Cyclone Rush,5+,2,Gain +15% DEF for 1 turn and reduce one active Special Move recovery by 1 turn.
MM-021,Frostbite,Worldforge,Unbound,Predator,79,36,32,Ice Fang: 4+ | CD 1 | This attack gains +12% ATK and reduce target DEF by 12% for this attack.; Time Freeze: 6+ | CD 2 | Reduce the target's ATK by 18% for 2 turns and increase its longest active Special Move recovery by 1 turn.,Ice Fang,4+,1,This attack gains +12% ATK and reduce target DEF by 12% for this attack.,Time Freeze,6+,2,Reduce the target's ATK by 18% for 2 turns and increase its longest active Special Move recovery by 1 turn.
MM-022,Sweep,Starwatch,Mortalbound,Wild,45,19,16,Gust Swipe: 3+ | CD 1 | This attack gains +8% ATK and mark the target with -8% DEF for your next attack.; Sweep Away: 5+ | CD 2 | Reduce the target's DEF by 18% for 2 turns.,Gust Swipe,3+,1,This attack gains +8% ATK and mark the target with -8% DEF for your next attack.,Sweep Away,5+,2,Reduce the target's DEF by 18% for 2 turns.
MM-023,Emberling,First Spark,Mortalbound,Wild,43,17,18,"Ember Pop: 3+ | CD 1 | This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.; Kindle Up: 5+ | CD 2 | Gain +18% ATK for 2 turn(s).",Ember Pop,3+,1,"This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.",Kindle Up,5+,2,Gain +18% ATK for 2 turn(s).
MM-024,Voltix,First Spark,Mortalbound,Hunter,66,24,30,"Static Shock: 3+ | CD 1 | This attack gains +15% ATK. Afterward, this Mystic gets -5% DEF until your next turn.; Overcharge: 5+ | CD 2 | Gain +20% ATK for 2 turn(s).",Static Shock,3+,1,"This attack gains +15% ATK. Afterward, this Mystic gets -5% DEF until your next turn.",Overcharge,5+,2,Gain +20% ATK for 2 turn(s).
MM-025,Pebblit,Worldforge,Mortalbound,Wild,44,26,13,Pebble Toss: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for this attack.; Harden: 5+ | CD 2 | Gain +18% DEF for 2 turn(s).,Pebble Toss,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for this attack.,Harden,5+,2,Gain +18% DEF for 2 turn(s).
MM-026,Glint,Sunspire,Ascendant,Hunter,57,23,22,Gleam Shot: 3+ | CD 1 | This attack gains +10% ATK and reduce target DEF by 10% for 1 turn.; Blinding Ray: 5+ | CD 2 | Reduce the target's ATK by 15% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Gleam Shot,3+,1,This attack gains +10% ATK and reduce target DEF by 10% for 1 turn.,Blinding Ray,5+,2,Reduce the target's ATK by 15% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-027,Mire,Verdant Dawn,Unbound,Hunter,58,30,20,Mud Sling: 3+ | CD 1 | This attack gains +10% ATK and the target gets -10% ATK for 1 turn.; Bogged Down: 5+ | CD 2 | Reduce the target's ATK by 20% for 2 turns.,Mud Sling,3+,1,This attack gains +10% ATK and the target gets -10% ATK for 1 turn.,Bogged Down,5+,2,Reduce the target's ATK by 20% for 2 turns.
MM-028,Slipstream,Starwatch,Ascendant,Prime,88,33,40,Jet Strike: 4+ | CD 1 | This attack gains +15% ATK and mark the target with -15% DEF for your next attack.; Sonic Rush: 6+ | CD 2 | Gain +28% ATK for this attack and reduce this Mystic's other Special Move recovery by 1 turn.,Jet Strike,4+,1,This attack gains +15% ATK and mark the target with -15% DEF for your next attack.,Sonic Rush,6+,2,Gain +28% ATK for this attack and reduce this Mystic's other Special Move recovery by 1 turn.
MM-029,Ironjaw,Worldforge,Unbound,Alpha,106,52,43,Iron Bite: 4+ | CD 1 | This attack gains +18% ATK and reduce target DEF by 18% for this attack.; Crushing Jaw: 6+ | CD 2 | Gain +35% DEF for 2 turns and recover 11% of maximum Power Score.,Iron Bite,4+,1,This attack gains +18% ATK and reduce target DEF by 18% for this attack.,Crushing Jaw,6+,2,Gain +35% DEF for 2 turns and recover 11% of maximum Power Score.
MM-030,Tallus,Stargate,Unbound,Alpha,114,48,38,Gate Slam: 4+ | CD 1 | This attack gains +18% ATK and reduce target DEF by 18% for this attack.; Blink Gate: 6+ | CD 2 | Gain +35% DEF until your next turn and increase the attacker's longest active Special Move recovery by 1 turn if you are hit.,Gate Slam,4+,1,This attack gains +18% ATK and reduce target DEF by 18% for this attack.,Blink Gate,6+,2,Gain +35% DEF until your next turn and increase the attacker's longest active Special Move recovery by 1 turn if you are hit.
MM-031,Bramble,Verdant Dawn,Mortalbound,Wild,48,25,16,Thorn Whip: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Tangle: 5+ | CD 2 | Reduce the target's ATK by 18% for 2 turns.,Thorn Whip,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Tangle,5+,2,Reduce the target's ATK by 18% for 2 turns.
MM-032,Mossback,Verdant Dawn,Unbound,Hunter,64,35,21,Moss Slam: 3+ | CD 1 | This attack gains +10% ATK and the target gets -10% ATK for 1 turn.; Overgrowth: 5+ | CD 2 | Recover 12% of this Mystic's maximum Power Score and gain +10% DEF until your next turn.,Moss Slam,3+,1,This attack gains +10% ATK and the target gets -10% ATK for 1 turn.,Overgrowth,5+,2,Recover 12% of this Mystic's maximum Power Score and gain +10% DEF until your next turn.
MM-033,Bloomlet,Verdant Dawn,Ascendant,Wild,53,24,18,Petal Shot: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Bloom: 5+ | CD 2 | Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.,Petal Shot,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Bloom,5+,2,Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.
MM-034,Thornox,Verdant Dawn,Voidbound,Predator,77,34,34,Black Thorn: 4+ | CD 1 | This attack gains +12% ATK and the target gets -12% ATK for 1 turn.; Rotvine: 6+ | CD 2 | Reduce the target's DEF by 24% for 2 turns.,Black Thorn,4+,1,This attack gains +12% ATK and the target gets -12% ATK for 1 turn.,Rotvine,6+,2,Reduce the target's DEF by 24% for 2 turns.
MM-035,Rootfang,Verdant Dawn,Unbound,Prime,89,44,36,Root Crush: 4+ | CD 1 | This attack gains +15% ATK and the target gets -15% ATK for 1 turn.; Deep Roots: 6+ | CD 2 | Gain +28% DEF for 2 turn(s).,Root Crush,4+,1,This attack gains +15% ATK and the target gets -15% ATK for 1 turn.,Deep Roots,6+,2,Gain +28% DEF for 2 turn(s).
MM-036,Flint,Worldforge,Mortalbound,Wild,50,27,16,Stone Chip: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for this attack.; Brace: 5+ | CD 2 | Gain +18% DEF for 2 turn(s).,Stone Chip,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for this attack.,Brace,5+,2,Gain +18% DEF for 2 turn(s).
MM-037,Brasshorn,Worldforge,Mortalbound,Hunter,69,37,26,Horn Ram: 3+ | CD 1 | This attack gains +10% ATK and reduce target DEF by 10% for this attack.; Reinforce: 5+ | CD 2 | Gain +20% DEF for 2 turn(s).,Horn Ram,3+,1,This attack gains +10% ATK and reduce target DEF by 10% for this attack.,Reinforce,5+,2,Gain +20% DEF for 2 turn(s).
MM-038,Craggle,Worldforge,Unbound,Wild,46,28,14,Rock Toss: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for this attack.; Boulder Hide: 5+ | CD 2 | Gain +18% DEF for 2 turn(s).,Rock Toss,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for this attack.,Boulder Hide,5+,2,Gain +18% DEF for 2 turn(s).
MM-039,Forgefang,Worldforge,Ascendant,Predator,83,41,34,Molten Bite: 4+ | CD 1 | This attack gains +12% ATK and reduce target DEF by 12% for this attack.; Tempered Hide: 6+ | CD 2 | Gain +24% DEF for 2 turn(s).,Molten Bite,4+,1,This attack gains +12% ATK and reduce target DEF by 12% for this attack.,Tempered Hide,6+,2,Gain +24% DEF for 2 turn(s).
MM-040,Colosslate,Worldforge,Ascendant,Prime,96,50,38,Seismic Fist: 4+ | CD 1 | This attack gains +15% ATK and reduce target DEF by 15% for this attack.; Fortress Form: 6+ | CD 2 | Gain +28% DEF for 2 turn(s).,Seismic Fist,4+,1,This attack gains +15% ATK and reduce target DEF by 15% for this attack.,Fortress Form,6+,2,Gain +28% DEF for 2 turn(s).
MM-041,Glimmer,Sunspire,Mortalbound,Wild,45,18,17,Sparkle Shot: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for 1 turn.; Flashstep: 5+ | CD 2 | Gain +18% DEF until your next turn and reduce the next attacker's ATK by 8% for that attack.,Sparkle Shot,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for 1 turn.,Flashstep,5+,2,Gain +18% DEF until your next turn and reduce the next attacker's ATK by 8% for that attack.
MM-042,Halo,Sunspire,Ascendant,Hunter,62,27,24,Radiant Bolt: 3+ | CD 1 | This attack gains +10% ATK and reduce target DEF by 10% for 1 turn.; Halo Guard: 5+ | CD 2 | Gain +20% DEF for 2 turn(s).,Radiant Bolt,3+,1,This attack gains +10% ATK and reduce target DEF by 10% for 1 turn.,Halo Guard,5+,2,Gain +20% DEF for 2 turn(s).
MM-043,Prism,Sunspire,Mortalbound,Hunter,60,25,25,"Prism Beam: 3+ | CD 1 | This attack gains +10% ATK and reduce target DEF by 10% for 1 turn.; Refraction: 5+ | CD 2 | Gain +15% DEF until your next turn. If hit, the attacker gets -10% ATK for its next turn.",Prism Beam,3+,1,This attack gains +10% ATK and reduce target DEF by 10% for 1 turn.,Refraction,5+,2,"Gain +15% DEF until your next turn. If hit, the attacker gets -10% ATK for its next turn."
MM-044,Lumilux,Sunspire,Ascendant,Predator,80,34,35,Solar Arc: 4+ | CD 1 | This attack gains +12% ATK and reduce target DEF by 12% for 1 turn.; Sanctuary Light: 6+ | CD 2 | Recover 15% of this Mystic's maximum Power Score and gain +12% DEF until your next turn.,Solar Arc,4+,1,This attack gains +12% ATK and reduce target DEF by 12% for 1 turn.,Sanctuary Light,6+,2,Recover 15% of this Mystic's maximum Power Score and gain +12% DEF until your next turn.
MM-045,Dawnclaw,Sunspire,Ascendant,Prime,91,39,40,Radiant Claw: 4+ | CD 1 | This attack gains +15% ATK and reduce target DEF by 15% for 1 turn.; Sunrise: 6+ | CD 2 | Gain +28% ATK for 2 turn(s).,Radiant Claw,4+,1,This attack gains +15% ATK and reduce target DEF by 15% for 1 turn.,Sunrise,6+,2,Gain +28% ATK for 2 turn(s).
MM-046,Watchling,Starwatch,Mortalbound,Wild,48,20,18,Keen Strike: 3+ | CD 1 | This attack gains +8% ATK and mark the target with -8% DEF for your next attack.; Read Move: 5+ | CD 2 | Gain +12% DEF until your next turn and reduce the target's DEF by 8% for your next attack.,Keen Strike,3+,1,This attack gains +8% ATK and mark the target with -8% DEF for your next attack.,Read Move,5+,2,Gain +12% DEF until your next turn and reduce the target's DEF by 8% for your next attack.
MM-047,Farsee,Starwatch,Ascendant,Hunter,63,24,27,Piercing Gaze: 3+ | CD 1 | This attack gains +10% ATK and mark the target with -10% DEF for your next attack.; Predict: 5+ | CD 2 | Gain +15% DEF until your next turn and reduce the target's DEF by 10% for your next attack.,Piercing Gaze,3+,1,This attack gains +10% ATK and mark the target with -10% DEF for your next attack.,Predict,5+,2,Gain +15% DEF until your next turn and reduce the target's DEF by 10% for your next attack.
MM-048,Scoutwing,Starwatch,Mortalbound,Hunter,59,23,25,Wing Slash: 3+ | CD 1 | This attack gains +10% ATK and mark the target with -10% DEF for your next attack.; Recon: 5+ | CD 2 | Gain +15% DEF until your next turn and reduce the target's DEF by 10% for your next attack.,Wing Slash,3+,1,This attack gains +10% ATK and mark the target with -10% DEF for your next attack.,Recon,5+,2,Gain +15% DEF until your next turn and reduce the target's DEF by 10% for your next attack.
MM-049,Nightwatch,Starwatch,Unbound,Predator,78,31,34,Silent Dive: 4+ | CD 1 | This attack gains +12% ATK and mark the target with -12% DEF for your next attack.; Foresight: 6+ | CD 2 | Gain +18% DEF until your next turn and reduce the target's DEF by 12% for your next attack.,Silent Dive,4+,1,This attack gains +12% ATK and mark the target with -12% DEF for your next attack.,Foresight,6+,2,Gain +18% DEF until your next turn and reduce the target's DEF by 12% for your next attack.
MM-050,Astraleye,Starwatch,Ascendant,Alpha,103,43,45,Star Lance: 4+ | CD 1 | This attack gains +18% ATK and mark the target with -18% DEF for your next attack.; Perfect Sight: 6+ | CD 2 | Gain +25% DEF until your next turn and reduce the target's DEF by 18% for your next attack.,Star Lance,4+,1,This attack gains +18% ATK and mark the target with -18% DEF for your next attack.,Perfect Sight,6+,2,Gain +25% DEF until your next turn and reduce the target's DEF by 18% for your next attack.
MM-051,Flicker,First Spark,Mortalbound,Wild,42,17,18,"Spark Snap: 3+ | CD 1 | This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.; Charge: 5+ | CD 2 | Gain +18% ATK for 2 turn(s).",Spark Snap,3+,1,"This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.",Charge,5+,2,Gain +18% ATK for 2 turn(s).
MM-052,Crackle,First Spark,Mortalbound,Wild,51,19,21,"Arc Bite: 3+ | CD 1 | This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.; Chain Spark: 5+ | CD 2 | Gain +18% ATK for 1 turn and reduce the other Special Move recovery by 1 turn.",Arc Bite,3+,1,"This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.",Chain Spark,5+,2,Gain +18% ATK for 1 turn and reduce the other Special Move recovery by 1 turn.
MM-053,Dynamo,First Spark,Ascendant,Hunter,68,27,30,"Power Slam: 3+ | CD 1 | This attack gains +15% ATK. Afterward, this Mystic gets -5% DEF until your next turn.; Surge: 5+ | CD 2 | Gain +20% ATK for 2 turn(s).",Power Slam,3+,1,"This attack gains +15% ATK. Afterward, this Mystic gets -5% DEF until your next turn.",Surge,5+,2,Gain +20% ATK for 2 turn(s).
MM-054,Wildfire,First Spark,Unbound,Predator,76,29,35,"Flame Rush: 4+ | CD 1 | This attack gains +18% ATK. Afterward, this Mystic gets -6% DEF until your next turn.; Burnout: 6+ | CD 2 | This attack gains +24% ATK. After it resolves, lose 12% of maximum Power Score.",Flame Rush,4+,1,"This attack gains +18% ATK. Afterward, this Mystic gets -6% DEF until your next turn.",Burnout,6+,2,"This attack gains +24% ATK. After it resolves, lose 12% of maximum Power Score."
MM-055,Stormvolt,First Spark,Ascendant,Prime,95,38,43,"Thunder Crash: 4+ | CD 1 | This attack gains +20% ATK. Afterward, this Mystic gets -7% DEF until your next turn.; Supercharge: 6+ | CD 2 | Gain +28% ATK for 2 turn(s).",Thunder Crash,4+,1,"This attack gains +20% ATK. Afterward, this Mystic gets -7% DEF until your next turn.",Supercharge,6+,2,Gain +28% ATK for 2 turn(s).
MM-056,Dreampuff,Moonveil,Mortalbound,Wild,43,18,15,Dream Dust: 3+ | CD 1 | This attack gains +8% ATK and reduce target ATK by 8% for 1 turn.; Nap Trap: 5+ | CD 2 | Reduce the target's ATK by 12% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Dream Dust,3+,1,This attack gains +8% ATK and reduce target ATK by 8% for 1 turn.,Nap Trap,5+,2,Reduce the target's ATK by 12% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-057,Whimsy,Moonveil,Unbound,Wild,50,21,18,"Trick Shot: 3+ | CD 1 | This attack gains +8% ATK and reduce target ATK by 8% for 1 turn.; Switcheroo: 5+ | CD 2 | Gain +12% DEF until your next turn. If hit, the attacker gets -8% ATK for its next turn.",Trick Shot,3+,1,This attack gains +8% ATK and reduce target ATK by 8% for 1 turn.,Switcheroo,5+,2,"Gain +12% DEF until your next turn. If hit, the attacker gets -8% ATK for its next turn."
MM-058,Phantasm,Moonveil,Ascendant,Hunter,66,26,28,Phantom Claw: 3+ | CD 1 | This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.; Vanish: 5+ | CD 2 | Gain +20% DEF until your next turn and reduce the next attacker's ATK by 10% for that attack.,Phantom Claw,3+,1,This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.,Vanish,5+,2,Gain +20% DEF until your next turn and reduce the next attacker's ATK by 10% for that attack.
MM-059,Dreamfang,Moonveil,Unbound,Prime,92,38,42,Nightmare Bite: 4+ | CD 1 | This attack gains +15% ATK and reduce target ATK by 15% for 1 turn.; Dreamlock: 6+ | CD 2 | Reduce the target's ATK by 20% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Nightmare Bite,4+,1,This attack gains +15% ATK and reduce target ATK by 15% for 1 turn.,Dreamlock,6+,2,Reduce the target's ATK by 20% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-060,Umbraxis,Moonveil,Voidbound,Alpha,109,42,49,Dread Slash: 4+ | CD 1 | This attack gains +18% ATK and reduce target ATK by 18% for 1 turn.; Endless Night: 6+ | CD 2 | Reduce the target's ATK by 25% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Dread Slash,4+,1,This attack gains +18% ATK and reduce target ATK by 18% for 1 turn.,Endless Night,6+,2,Reduce the target's ATK by 25% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-061,Ticktail,Agespire,Mortalbound,Wild,49,22,17,Clock Swipe: 3+ | CD 1 | This attack gains +8% ATK and increase target's longest active Special Move recovery by 1 turn.; Delay: 5+ | CD 2 | Reduce both of this Mystic's active Special Move recoveries by 1 turn and recover 10% of maximum Power Score.,Clock Swipe,3+,1,This attack gains +8% ATK and increase target's longest active Special Move recovery by 1 turn.,Delay,5+,2,Reduce both of this Mystic's active Special Move recoveries by 1 turn and recover 10% of maximum Power Score.
MM-062,Epoch,Agespire,Ascendant,Hunter,67,30,27,Age Strike: 3+ | CD 1 | This attack gains +10% ATK and increase target's longest active Special Move recovery by 1 turn.; Rewind: 5+ | CD 2 | Recover 12% of this Mystic's maximum Power Score and gain +10% DEF until your next turn.,Age Strike,3+,1,This attack gains +10% ATK and increase target's longest active Special Move recovery by 1 turn.,Rewind,5+,2,Recover 12% of this Mystic's maximum Power Score and gain +10% DEF until your next turn.
